WordId,TestId,PartOfSpeech,Description,Example,Source
113,0,adjective,not spending much money (but spending wisely).,"Monte was no miser, but was simply frugal, wisely spending the little that he earned.",Magoosh
114,0,verb,"hinder or prevent (the efforts, plans, or desires) of.","I thought I would finish writing the paper by lunchtime, but a number of urgent interruptions served to frustrate my plan. This word has other definitions but this is the most important one for the GRE.",Magoosh
115,0,verb,deny or contradict; speak against or oppose.,"I can't gainsay a single piece of evidence James has presented, but I still don't trust his conclusion.",Magoosh
116,0,noun,the trait of being rude and impertinent.,"Even though Carly was only recently hired, she had the gall to question her boss's judgment in front of the office.",Magoosh
116,0,noun,feeling of deep and bitter anger and ill-will.,"In an act of gall, Leah sent compromising photos of her ex-boyfriend to all his co-workers and professional contacts.",Magoosh
117,0,verb,to excite or inspire (someone) to action.,"At mile 23 of his first marathon, Kyle had all but given up, until he noticed his friends and family holding a banner that read, ""Go Kyle""; galvanized, he broke into a gallop, finishing the last three miles in less than 20 minutes.",Magoosh
118,0,adjective,full of trivial conversation.,"Lynne was garrulous: once, she had a fifteen minute conversation with a stranger before she realized the woman didn't speak English.",Magoosh
119,0,adjective,lacking social polish.,"Sylvester says the most gauche things, such as telling a girl he liked that she was much prettier when she wore makeup.",Magoosh
120,0,adjective,relevant and appropriate.,"The professor wanted to tell the jury in detail about his new book, but the lawyer said it wasn't germane to the charges in the cases.",Magoosh
121,0,noun,an excessive supply.,The Internet offers such a glut of news related stories that many find it difficult to know which story to read first.,Magoosh
121,0,verb,supply with an excess of.,"In the middle of economic crises, hiring managers find their inboxes glutted with resumes.",Magoosh
122,0,adjective,characterized by unusual lightness and delicacy.,"The gossamer wings of a butterfly, which allow it to fly, are also a curse, so delicate that they are often damaged.",Magoosh
123,0,adjective,to be likely to socialize with others.,"Often we think that great leaders are those who are gregarious, always in the middle of a large group of people; yet, as Mahatma Gandhi and many others have shown us, leaders can also be introverted.",Magoosh
124,0,adjective,free of deceit.,"At first I thought my niece was guileless, but I then found myself buying her ice cream every time we passed a shop.",Magoosh
125,0,adjective,lacking significance through having been overused.,"Cheryl rolled her eyes when she heard the lecturer's hackneyed advice to ""be true to yourself."".",Magoosh
126,0,noun,a long pompous speech; a tirade.,"Dinner at Billy's was more a punishment than a reward, since anyone who sat at the dinner table would have to listen to Billy's father's interminable harangues against the government.",Magoosh
126,0,verb,to deliver a long pompous speech or tirade.,"Tired of his parents haranguing him about his laziness and lack of initiative, Tyler finally moved out of home at the age of thirty-five.",Magoosh
127,0,adjective,troubled persistently especially with petty annoyances.,"With a team of new hires to train, Martha was constantly harried with little questions and could not focus on her projects.",Magoosh
128,0,adjective,having or showing arrogant superiority to and disdain of those one views as unworthy.,The haughty manager didn't believe that any of his subordinates could ever have an insight as brilliant his own.,Magoosh
129,0,adjective,dominance over a certain area.,"Until the Spanish Armada was defeated in 1587, Spain had hegemony over the seas, controlling waters stretching as far as the Americas.",Magoosh
130,0,noun,a person who holds unorthodox opinions in any field (not merely religion).,"Though everybody at the gym told Mikey to do cardio before weights, Mikey was a heretic and always did the reverse.",Magoosh
131,0,noun,somebody who attacks cherished beliefs or institutions.,"Lady Gaga, in challenging what it means to be clothed, is an iconoclast for wearing a ""meat dress"" to a prominent awards show.",Magoosh
132,0,adjective,defying tradition or convention.,"Jackson Pollack was an iconoclastic artist, totally breaking with tradition by splashing paint on a blank canvas.",Magoosh
133,0,noun,a behavioral attribute that is distinctive and peculiar to an individual.,"Peggy's numerous idiosyncrasies include wearing mismatched shoes, laughing loudly to herself, and. owning a pet aardvark.",Magoosh
134,0,adjective,dishonorable.,"In the 1920s, the World Series was rigged--an ignoble act which baseball took decades to recover from.",Magoosh
135,0,adjective,(used of conduct or character) deserving or bringing disgrace or shame.,"Since the politician preached ethics and morality, his texting of revealing photographs was ignominious, bringing shame on both himself and his party.",Magoosh
136,0,adjective,not able to be changed.,"Taxes are one of the immutable laws of the land, so there is no use arguing about paying them.",Magoosh
137,0,adjective,free from undue bias or preconceived opinions.,The judge was not impartial since he had been bribed by the witness's family.,Magoosh
138,0,adjective,being disrespectful; improperly forward or bold.,"Dexter, distraught over losing his pet dachshund, Madeline, found the police officer's questions impertinent--after all, he thought, did she have to pry into such details as to what Madeline's favorite snack was?.",Magoosh
139,0,adjective,incapable of making less angry or hostile.,"Win or lose, the coach was always implacable, never giving the athletes an easy practice or a break.",Magoosh
140,0,adjective,describing a statement that is not believable.,The teacher found it implausible that the student was late to school because he had been kidnapped by outlaws on horseback.,Magoosh
141,0,adjective,not wise.,"Hitler, like Napoleon, made the imprudent move of invading Russia in winter, suffering even more casualties than Napoleon had.",Magoosh
142,0,adjective,improperly forward or bold.,"In an impudent move, the defendant spoke out of order to say terribly insulting things to the judge.",Magoosh
143,0,adjective,having or demonstrating ability to recognize or draw fine distinctions.,"The lawyer had an incisive mind, able in a flash to dissect a hopelessly tangled issue and isolate the essential laws at play.",Magoosh
144,0,adjective,lacking in harmony or compatibility or appropriateness.,The vast economic inequality of modern society is incongruous with America's ideals.,Magoosh
145,0,adjective,impervious to correction by punishment.,Tom Sawyer seems like an incorrigible youth until Huck Finn enters the novel; even Sawyer can't match. his fierce individual spirit.,Magoosh
146,0,adjective,not in keeping with accepted standards of what is right or proper in polite society.,Eating with elbows on the table is considered indecorous in refined circles.,Magoosh
147,0,noun,the trait of seeming not to care.,"In an effort to fight indifference, the president of the college introduced a new, stricter grading system.",Magoosh
148,0,adjective,impossible to stop or prevent.,The rise of the computer was an inexorable shift in technology and culture.,Magoosh
149,0,adjective,to be naÃ ̄ve and innocent.,"Two-years in Manhattan had changed Jenna from an ingenuous girl from the suburbs to a jaded urbanite, unlikely to fall for any ruse, regardless of how elaborate.",Magoosh
150,0,verb,gain favor with somebody by deliberate efforts.,"Even though Tom didn't like his new boss, he decided to ingratiate himself to her in order to advance his career.",Magoosh
151,0,adjective,hostile (usually describes conditions or environments).,"Venus, with a surface temperature that would turn rubber to liquid, is inimical to any form of life.",Magoosh
152,0,adjective,"harmless and doesn""t produce any ill effects.","Everyone found Nancy's banter innocuous--except for Mike, who felt like she was intentionally picking on him.",Magoosh
153,0,adjective,not easily understood; unfathomable.,His speech was so dense and confusing that many in the audience found it inscrutable.,Magoosh
154,0,adjective,working in a subtle but destructive way.,"Plaque is insidious: we cannot see it, but each day it eats away at our enamel, causing cavities and other dental problems.",Magoosh
155,0,adjective,rude and arrogant.,"Lilian could not help herself from being insolent, commenting that the Queen's shoes were showing too much toe.",Magoosh
156,0,verb,to suggest something subtly.,"At first Manfred's teachers intimated to his parents that he was not suited to skip a grade; when his parents protested, teachers explicitly told them that, notwithstanding the boy's precocity, he was simply too immature to jump to the 6th grade. This word has other definitions but this is the most important one for the GRE.",Magoosh
157,0,adjective,unwilling to change one's beliefs or course of action.,"Despite many calls for mercy, the judge remained intransigent, citing strict legal precedence.",Magoosh
158,0,adjective,fearless.,Captain Ahab was an intrepid captain whose reckless and fearless style ultimate leads to his downfall.,Magoosh
159,0,adjective,habitual.,He is an inveterate smoker and has told his family and friends that there is no way he will ever quit.,Magoosh
160,0,adjective,"complicated, and difficult to comprehend.",The physics lecture became so involved that the undergraduate's eyes glazed over.,Magoosh
161,0,adjective,incapable of being retracted or revoked.,"Once you enter your plea to the court, it is irrevocable so think carefully about what you will say.",Magoosh
162,0,noun,fanatical patriotism.,North Korea maintains intense control over its population through a combination of jingoism and cult of personality.,Magoosh
163,0,adjective,full of or showing high-spirited merriment.,The political candidate and his supporters were jovial once it was clear that she had won.,Magoosh
164,0,verb,place side by side.,The meaning of her paintings comes from a classical style which juxtaposes modern themes.,Magoosh
165,0,adjective,one who says very few words.,"While Martha always swooned over the hunky, laconic types in romantic comedies, her boyfriends inevitably were very talkative--and not very hunky.",Magoosh
166,0,verb,criticize severely or angrily.,"Showing no patience, the manager utterly lambasted the sales team that lost the big account.",Magoosh
167,0,adjective,not inclined towards physical exertion or effort; slow and relaxed.,"As the sun beat down and the temperature climbed higher, we spent a languid week lying around the house.",Magoosh
168,0,noun,extreme generosity and giving.,"Uncle Frank was known for his largess, so his nephew was sad when he did not receive a present for his birthday.",Magoosh
169,0,adjective,worthy of high praise.,To say that Gandhi's actions were laudable is the greatest understatement; he overthrew an empire without violence.,Magoosh
170,0,verb,assign great social importance to.,"Students in the U.S. learn to lionize Jefferson, Franklin, and Washington because they are the founding fathers of the nation.",Magoosh
171,0,adjective,"noble and generous in spirit, especially towards a rival or someone less powerful.",He was a great sportsman: in defeat he was complementary and in victory he was magnanimous.,Magoosh
172,0,verb,to assert.,The scientist maintained that the extinction of dinosaurs was most likely brought about by a drastic change in climate.,Magoosh
173,0,adjective,clumsy.,"As a child she was quite maladroit, but as an adult, she has become an adept dancer. This word has other definitions but this is the most important one for the GRE.",Magoosh
174,0,noun,someone who exhibits great independence in thought and action.,"Officer Kelly was a maverick, rarely following police protocols or adopting the conventions for speech common among his fellow officers.",Magoosh
175,0,adjective,overly sentimental to the point that it is disgusting.,"The film was incredibly mawkish, introducing highly likeable characters only to have them succumb to a devastating illnesses by the end of the movie.",Magoosh
176,0,noun,the tendency to be untruthful.,I can forgive her for her mendacity but only because she is a child and is seeing what she can get away with.,Magoosh
177,0,adjective,(of a person) prone to unexpected and unpredictable changes in mood.,The fact that Ella's moods were as mercurial as the weather was problematic for her relationships--it didn't help that she lived in Chicago.,Magoosh
178,0,adjective,marked by extreme care in treatment of details.,The Japanese noodle maker was meticulous in making his noodles and would never let another person take over the task.,Magoosh
179,0,verb,interpret in the wrong way.,The politician never trusted journalists because he though that they misconstrue his words and misrepresent his positions.,Magoosh
180,0,verb,make less severe or harsh.,"I can only spend so much time mitigating your disagreements with your wife, and at certain point, you need to do it on your own.",Magoosh
180,0,verb,lessen the severity of an offense.,"If it weren't for the mitigating circumstances, he would have certainly lost his job.",Magoosh
181,0,verb,to make someone angry less angry; placate.,"In the morning, Harriat was unable to mollify Harry, if he happened to become angry, unless he had his cup of coffee.",Magoosh
182,0,adjective,repetitive and boring; not spiritual.,"Nancy found doing dishes a thorougly mundane task, although Peter found a kind of Zen pleasure in the chore.",Magoosh
182,0,adjective,relating to the ordinary world.,"Though we think of the pope as someone always dealing in holy matters, he is also concerned with mundane events, such as deciding when to set his alarm each morning.",Magoosh
183,0,adjective,very generous.,"Uncle Charley was known for his munificence, giving all seven of his nephews lavish Christmas presents each year.",Magoosh
184,0,adjective,lacking foresight or imagination.,The company ultimately went out of business because the myopic managers couldn't predict the changes in their industry. This word has other definitions but this is the most important one for the GRE.,Magoosh
185,0,noun,a large indefinite number.,There are a myriad of internet sites hawking pills that claim to boost energy for hours on end.,Magoosh
186,0,adjective,so small as to be meaningless; insignificant.,"The GRE tests cumulative knowledge, so if you cram the night before it is, at best, likely to only have a negligible impact on your score.",Magoosh
187,0,verb,unsure how to act or respond.,Shirley was totally nonplussed when the angry motorist cut her off and then stuck his finger out the window.,Magoosh
188,0,noun,a subtle difference in meaning or opinion or attitude.,"Because of the nuances involved in this case, I hired an outside consultant to advice us and help.",Magoosh
189,0,verb,make unclear.,"On the Smith's drive through the Grand Canyon, Mr. Smith's big head obscured much of Mrs. Robinson's view, so that she only saw momentary patches of red rock. This word has other definitions but this is the most important one for the GRE.",Magoosh
189,0,adjective,known by only a few.,Many of the biggest movie stars were once obscure actors who got only bit roles in long forgotten films. This word has other definitions but this is the most important one for the GRE.,Magoosh
